child_id,parent_id,link_type,degree,betweenness,closeness
ixuu62h,z591eb,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixuu6uw,ixutzkd,reply to a comment,2.25017438851511e-05,0.0,3.750290647525183e-05
ixuu70h,ixutitv,reply to a comment,4.50034877703022e-05,1.5190196142091202e-09,3.375261582772665e-05
ixuuagq,ixutcvw,reply to a comment,4.50034877703022e-05,5.56973858543344e-09,4.125319712277701e-05
ixuuh1m,ixu7m61,reply to a comment,4.50034877703022e-05,4.05071897122432e-09,3.600279021624176e-05
ixuuklf,z58rvt,reply to a submission,4.50034877703022e-05,1.01267974280608e-09,3.0002325180201466e-05
ixuun37,ixu1np9,reply to a comment,2.25017438851511e-05,0.0,3.600279021624176e-05
ixuutbu,ixutn04,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixuuwdn,yxr35y,reply to a submission,4.50034877703022e-05,1.01267974280608e-09,3.0002325180201466e-05
ixuv0ax,z591eb,reply to a submission,4.50034877703022e-05,1.01267974280608e-09,3.0002325180201466e-05
ixuv2na,z56v2w,reply to a submission,6.75052316554533e-05,3.0380392284182405e-09,3.0002325180201466e-05
ixuv6qh,z587rx,reply to a submission,4.50034877703022e-05,1.01267974280608e-09,3.0002325180201466e-05
ixuvh1c,z5abgp,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixuvj09,z53zv4,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixuvpwf,z45orq,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixuvqf9,z56v2w,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixuvxhq,ixuqrh0,reply to a comment,2.25017438851511e-05,0.0,3.600279021624176e-05
ixuw596,ixuu70h,reply to a comment,2.25017438851511e-05,0.0,3.600279021624176e-05
ixuw7id,ixusv3m,reply to a comment,2.25017438851511e-05,0.0,3.750290647525183e-05
ixuw7yz,ixq8gqw,reply to a comment,2.25017438851511e-05,0.0,3.600279021624176e-05
ixuwc2q,ixuv0ax,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixuwfsp,ixpmah7,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixuwg2d,ixtnml3,reply to a comment,2.25017438851511e-05,0.0,3.750290647525183e-05
ixuwwhw,z58rvt,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixuwz5y,z53zv4,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixux3e7,z546s3,reply to a submission,6.75052316554533e-05,4.05071897122432e-09,3.0002325180201466e-05
ixux58o,z5am5l,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixux5t5,ixie5dy,reply to a comment,4.50034877703022e-05,1.5190196142091202e-09,3.375261582772665e-05
ixux9pl,ixud9wn,reply to a comment,4.50034877703022e-05,8.10143794244864e-09,3.600279021624176e-05
ixuxag3,iwp6yej,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixuxcyf,xj21qi,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixuxe43,z4snn5,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
